Time;Number of packets received on interface Network adapter 1
2019-03-25T19:00:00+01:00;122
2019-03-25T20:00:00+01:00;119
2019-03-25T21:00:00+01:00;114
2019-03-25T22:00:00+01:00;116
2019-03-25T23:00:00+01:00;109
2019-03-26T00:00:00+01:00;103
2019-03-26T01:00:00+01:00;113
2019-03-26T02:00:00+01:00;106
2019-03-26T03:00:00+01:00;102
2019-03-26T04:00:00+01:00;101
2019-03-26T05:00:00+01:00;105
2019-03-26T06:00:00+01:00;115
2019-03-26T07:00:00+01:00;349
2019-03-26T08:00:00+01:00;999
2019-03-26T09:00:00+01:00;1730
2019-03-26T10:00:00+01:00;1163
2019-03-26T11:00:00+01:00;1556
2019-03-26T12:00:00+01:00;559
2019-03-26T13:00:00+01:00;1245
2019-03-26T14:00:00+01:00;1188
2019-03-26T15:00:00+01:00;1338
2019-03-26T16:00:00+01:00;1538
2019-03-26T17:00:00+01:00;566
2019-03-26T18:00:00+01:00;140
2019-03-26T19:00:00+01:00;130
2019-03-26T20:00:00+01:00;132
2019-03-26T21:00:00+01:00;128
2019-03-26T22:00:00+01:00;125
2019-03-26T23:00:00+01:00;134
2019-03-27T00:00:00+01:00;123
2019-03-27T01:00:00+01:00;122
2019-03-27T02:00:00+01:00;124
2019-03-27T03:00:00+01:00;115
2019-03-27T04:00:00+01:00;124
2019-03-27T05:00:00+01:00;132
2019-03-27T06:00:00+01:00;135
2019-03-27T07:00:00+01:00;349
2019-03-27T08:00:00+01:00;951
2019-03-27T09:00:00+01:00;1256
2019-03-27T10:00:00+01:00;1166
2019-03-27T11:00:00+01:00;963
2019-03-27T12:00:00+01:00;805
2019-03-27T13:00:00+01:00;600
2019-03-27T14:00:00+01:00;955
2019-03-27T15:00:00+01:00;1368
2019-03-27T16:00:00+01:00;961
2019-03-27T17:00:00+01:00;650
2019-03-27T18:00:00+01:00;145
2019-03-27T19:00:00+01:00;119
2019-03-27T20:00:00+01:00;118
2019-03-27T21:00:00+01:00;113
2019-03-27T22:00:00+01:00;101
2019-03-27T23:00:00+01:00;118
2019-03-28T00:00:00+01:00;98
2019-03-28T01:00:00+01:00;108
2019-03-28T02:00:00+01:00;104
2019-03-28T03:00:00+01:00;93
2019-03-28T04:00:00+01:00;99
2019-03-28T05:00:00+01:00;109
2019-03-28T06:00:00+01:00;126
2019-03-28T07:00:00+01:00;311
2019-03-28T08:00:00+01:00;623
2019-03-28T09:00:00+01:00;753
2019-03-28T10:00:00+01:00;724
2019-03-28T11:00:00+01:00;858
2019-03-28T12:00:00+01:00;643
2019-03-28T13:00:00+01:00;857
2019-03-28T14:00:00+01:00;1509
2019-03-28T15:00:00+01:00;1661
2019-03-28T16:00:00+01:00;1358
2019-03-28T17:00:00+01:00;364
2019-03-28T18:00:00+01:00;157
2019-03-28T19:00:00+01:00;119
2019-03-28T20:00:00+01:00;111
2019-03-28T21:00:00+01:00;101
2019-03-28T22:00:00+01:00;109
2019-03-28T23:00:00+01:00;110
2019-03-29T00:00:00+01:00;102
2019-03-29T01:00:00+01:00;100
2019-03-29T02:00:00+01:00;110
2019-03-29T03:00:00+01:00;88
2019-03-29T04:00:00+01:00;91
2019-03-29T05:00:00+01:00;103
2019-03-29T06:00:00+01:00;128
2019-03-29T07:00:00+01:00;408
2019-03-29T08:00:00+01:00;724
2019-03-29T09:00:00+01:00;1054
2019-03-29T10:00:00+01:00;1697
2019-03-29T11:00:00+01:00;1258
2019-03-29T12:00:00+01:00;753
2019-03-29T13:00:00+01:00;608
2019-03-29T14:00:00+01:00;625
2019-03-29T15:00:00+01:00;961
2019-03-29T16:00:00+01:00;229
