Time;Free disk space on /
2019-03-17T05:00:00+01:00;218597984256
2019-03-17T06:00:00+01:00;218758026103
2019-03-17T07:00:00+01:00;218822502400
2019-03-17T08:00:00+01:00;218822502400
2019-03-17T09:00:00+01:00;218822502400
2019-03-17T10:00:00+01:00;218822502400
2019-03-17T11:00:00+01:00;218822502400
2019-03-17T12:00:00+01:00;218822502400
2019-03-17T13:00:00+01:00;218822502400
2019-03-17T14:00:00+01:00;218803256354
2019-03-17T15:00:00+01:00;218717523968
2019-03-17T16:00:00+01:00;218717523968
2019-03-17T17:00:00+01:00;218717523968
2019-03-17T18:00:00+01:00;218652859255
2019-03-17T19:00:00+01:00;218612662272
2019-03-17T20:00:00+01:00;218612662272
2019-03-17T21:00:00+01:00;218612662272
2019-03-17T22:00:00+01:00;218612662272
2019-03-17T23:00:00+01:00;218612662272
2019-03-18T00:00:00+01:00;196326237764
2019-03-18T01:00:00+01:00;218060657152
2019-03-18T02:00:00+01:00;216977121280
2019-03-18T03:00:00+01:00;216958483899
2019-03-18T04:00:00+01:00;216956332032
2019-03-18T05:00:00+01:00;216956332032
2019-03-18T06:00:00+01:00;216881172343
2019-03-18T07:00:00+01:00;216851458048
2019-03-18T08:00:00+01:00;216851458048
2019-03-18T09:00:00+01:00;216746366976
2019-03-18T10:00:00+01:00;216730489958
2019-03-18T11:00:00+01:00;216640520192
2019-03-18T12:00:00+01:00;216640520192
2019-03-18T13:00:00+01:00;216640520192
2019-03-18T14:00:00+01:00;216558343236
2019-03-18T15:00:00+01:00;216535613440
2019-03-18T16:00:00+01:00;216535613440
2019-03-18T17:00:00+01:00;216505870131
2019-03-18T18:00:00+01:00;216430637056
2019-03-18T19:00:00+01:00;216430637056
2019-03-18T20:00:00+01:00;216430637056
2019-03-18T21:00:00+01:00;216430637056
2019-03-18T22:00:00+01:00;216430637056
2019-03-18T23:00:00+01:00;216430637056
2019-03-19T00:00:00+01:00;193485569672
2019-03-19T01:00:00+01:00;216968941977
2019-03-19T02:00:00+01:00;216972464128
2019-03-19T03:00:00+01:00;217347780096
2019-03-19T04:00:00+01:00;218501751739
2019-03-19T05:00:00+01:00;218368262144
2019-03-19T06:00:00+01:00;218368262144
2019-03-19T07:00:00+01:00;218368262144
2019-03-19T08:00:00+01:00;218368262144
2019-03-19T09:00:00+01:00;218273584640
2019-03-19T10:00:00+01:00;218261080064
2019-03-19T11:00:00+01:00;218238317875
2019-03-19T12:00:00+01:00;218156023808
2019-03-19T13:00:00+01:00;218156023808
2019-03-19T14:00:00+01:00;218096493090
2019-03-19T15:00:00+01:00;217952857838
2019-03-19T16:00:00+01:00;217945849856
2019-03-19T17:00:00+01:00;217945849856
2019-03-19T18:00:00+01:00;217856567705
2019-03-19T19:00:00+01:00;217840812032
2019-03-19T20:00:00+01:00;217840812032
2019-03-19T21:00:00+01:00;217840812032
2019-03-19T22:00:00+01:00;217840812032
2019-03-19T23:00:00+01:00;217840812032
2019-03-20T00:00:00+01:00;197312378265
2019-03-20T01:00:00+01:00;227934101606
2019-03-20T02:00:00+01:00;227874727936
2019-03-20T03:00:00+01:00;227922272972
2019-03-20T04:00:00+01:00;228049059840
2019-03-20T05:00:00+01:00;228049059840
2019-03-20T06:00:00+01:00;228049059840
2019-03-20T07:00:00+01:00;228049059840
2019-03-20T08:00:00+01:00;228019328716
2019-03-20T09:00:00+01:00;227944126464
