Time;Average number of bytes written to the disk Hard disk 1
2019-03-28T02:00:00+01:00;997785
2019-03-28T03:00:00+01:00;4491229
2019-03-28T04:00:00+01:00;1086310
2019-03-28T05:00:00+01:00;859357
2019-03-28T06:00:00+01:00;1171968
2019-03-28T07:00:00+01:00;1075012
2019-03-28T08:00:00+01:00;922931
2019-03-28T09:00:00+01:00;1100509
2019-03-28T10:00:00+01:00;1560251
2019-03-28T11:00:00+01:00;927095
2019-03-28T12:00:00+01:00;837444
2019-03-28T13:00:00+01:00;1075712
2019-03-28T14:00:00+01:00;1092881
2019-03-28T15:00:00+01:00;1108104
2019-03-28T16:00:00+01:00;705689
2019-03-28T17:00:00+01:00;1029922
2019-03-28T18:00:00+01:00;939929
2019-03-28T19:00:00+01:00;1186286
2019-03-28T20:00:00+01:00;1062621
2019-03-28T21:00:00+01:00;1070762
