Time;Number of packets transmitted on interface Network adapter 1
2019-03-18T16:00:00+01:00;18032
2019-03-18T17:00:00+01:00;43669
2019-03-18T18:00:00+01:00;33427
2019-03-18T19:00:00+01:00;10098
2019-03-18T20:00:00+01:00;7774
2019-03-18T21:00:00+01:00;30758
2019-03-18T22:00:00+01:00;8788
2019-03-18T23:00:00+01:00;9539
2019-03-19T00:00:00+01:00;7192
2019-03-19T01:00:00+01:00;28204
2019-03-19T02:00:00+01:00;7667
2019-03-19T03:00:00+01:00;11038
2019-03-19T04:00:00+01:00;9283
2019-03-19T05:00:00+01:00;33840
2019-03-19T06:00:00+01:00;24587
2019-03-19T07:00:00+01:00;14754
2019-03-19T08:00:00+01:00;18940
2019-03-19T09:00:00+01:00;38947
2019-03-19T10:00:00+01:00;32946
2019-03-19T11:00:00+01:00;17788
2019-03-19T12:00:00+01:00;20380
2019-03-19T13:00:00+01:00;38663
2019-03-19T14:00:00+01:00;37310
2019-03-19T15:00:00+01:00;17442
2019-03-19T16:00:00+01:00;20556
2019-03-19T17:00:00+01:00;36647
2019-03-19T18:00:00+01:00;31185
2019-03-19T19:00:00+01:00;10736
2019-03-19T20:00:00+01:00;9248
2019-03-19T21:00:00+01:00;16434
2019-03-19T22:00:00+01:00;7004
2019-03-19T23:00:00+01:00;4388
2019-03-20T00:00:00+01:00;4562
2019-03-20T01:00:00+01:00;14151
2019-03-20T02:00:00+01:00;7563
2019-03-20T03:00:00+01:00;12577
2019-03-20T04:00:00+01:00;5943
2019-03-20T05:00:00+01:00;19927
2019-03-20T06:00:00+01:00;39317
2019-03-20T07:00:00+01:00;12665
2019-03-20T08:00:00+01:00;20514
2019-03-20T09:00:00+01:00;22505
2019-03-20T10:00:00+01:00;42342
2019-03-20T11:00:00+01:00;13387
2019-03-20T12:00:00+01:00;18325
2019-03-20T13:00:00+01:00;25676
2019-03-20T14:00:00+01:00;47077
2019-03-20T15:00:00+01:00;18375
2019-03-20T16:00:00+01:00;16687
2019-03-20T17:00:00+01:00;21262
2019-03-20T18:00:00+01:00;36237
2019-03-20T19:00:00+01:00;13999
2019-03-20T20:00:00+01:00;6669
2019-03-20T21:00:00+01:00;14125
2019-03-20T22:00:00+01:00;10693
2019-03-20T23:00:00+01:00;5469
2019-03-21T00:00:00+01:00;4718
2019-03-21T01:00:00+01:00;11793
2019-03-21T02:00:00+01:00;10039
2019-03-21T03:00:00+01:00;4853
2019-03-21T04:00:00+01:00;12674
2019-03-21T05:00:00+01:00;13651
2019-03-21T06:00:00+01:00;44914
2019-03-21T07:00:00+01:00;15185
2019-03-21T08:00:00+01:00;18963
2019-03-21T09:00:00+01:00;23660
2019-03-21T10:00:00+01:00;50912
2019-03-21T11:00:00+01:00;20907
2019-03-21T12:00:00+01:00;17691
2019-03-21T13:00:00+01:00;21946
2019-03-21T14:00:00+01:00;45491
2019-03-21T15:00:00+01:00;19688
2019-03-21T16:00:00+01:00;16313
2019-03-21T17:00:00+01:00;17488
2019-03-21T18:00:00+01:00;39792
2019-03-21T19:00:00+01:00;16568
2019-03-21T20:00:00+01:00;6129
2019-03-21T21:00:00+01:00;11552
2019-03-21T22:00:00+01:00;11405
2019-03-21T23:00:00+01:00;6234
2019-03-22T00:00:00+01:00;4965
2019-03-22T01:00:00+01:00;10245
2019-03-22T02:00:00+01:00;9153
2019-03-22T03:00:00+01:00;8061
2019-03-22T04:00:00+01:00;5094
2019-03-22T05:00:00+01:00;16743
2019-03-22T06:00:00+01:00;38028
2019-03-22T07:00:00+01:00;17988
2019-03-22T08:00:00+01:00;20265
2019-03-22T09:00:00+01:00;21672
2019-03-22T10:00:00+01:00;41185
2019-03-22T11:00:00+01:00;20829
2019-03-22T12:00:00+01:00;20309
2019-03-22T13:00:00+01:00;19070
2019-03-22T14:00:00+01:00;50347
2019-03-22T15:00:00+01:00;16759
2019-03-22T16:00:00+01:00;14363
2019-03-22T17:00:00+01:00;16837
2019-03-22T18:00:00+01:00;40678
2019-03-22T19:00:00+01:00;15370
2019-03-22T20:00:00+01:00;6306
2019-03-22T21:00:00+01:00;10822
2019-03-22T22:00:00+01:00;23098
2019-03-22T23:00:00+01:00;14494
2019-03-23T00:00:00+01:00;6111
2019-03-23T01:00:00+01:00;8823
2019-03-23T02:00:00+01:00;16935
2019-03-23T03:00:00+01:00;18165
2019-03-23T04:00:00+01:00;9734
2019-03-23T05:00:00+01:00;8750
2019-03-23T06:00:00+01:00;16897
2019-03-23T07:00:00+01:00;19291
2019-03-23T08:00:00+01:00;13849
2019-03-23T09:00:00+01:00;10441
2019-03-23T10:00:00+01:00;16584
2019-03-23T11:00:00+01:00;16548
2019-03-23T12:00:00+01:00;6691
2019-03-23T13:00:00+01:00;10479
2019-03-23T14:00:00+01:00;17369
2019-03-23T15:00:00+01:00;15011
2019-03-23T16:00:00+01:00;5571
2019-03-23T17:00:00+01:00;9187
2019-03-23T18:00:00+01:00;13839
2019-03-23T19:00:00+01:00;20078
2019-03-23T20:00:00+01:00;6317
2019-03-23T21:00:00+01:00;10506
2019-03-23T22:00:00+01:00;18183
2019-03-23T23:00:00+01:00;20538
2019-03-24T00:00:00+01:00;31441
2019-03-24T01:00:00+01:00;7179
2019-03-24T02:00:00+01:00;14521
2019-03-24T03:00:00+01:00;19891
2019-03-24T04:00:00+01:00;17009
2019-03-24T05:00:00+01:00;6979
2019-03-24T06:00:00+01:00;13374
2019-03-24T07:00:00+01:00;24209
2019-03-24T08:00:00+01:00;11495
2019-03-24T09:00:00+01:00;7747
2019-03-24T10:00:00+01:00;12179
2019-03-24T11:00:00+01:00;15245
2019-03-24T12:00:00+01:00;10376
