Time;Number of bytes received on interface Network adapter 1
2019-03-27T12:00:00+01:00;107554
2019-03-27T13:00:00+01:00;71253
2019-03-27T14:00:00+01:00;227584
2019-03-27T15:00:00+01:00;110643
2019-03-27T16:00:00+01:00;114329
2019-03-27T17:00:00+01:00;76697
2019-03-27T18:00:00+01:00;195140
2019-03-27T19:00:00+01:00;88046
2019-03-27T20:00:00+01:00;46865
2019-03-27T21:00:00+01:00;33433
2019-03-27T22:00:00+01:00;46933
2019-03-27T23:00:00+01:00;48947
2019-03-28T00:00:00+01:00;53930
2019-03-28T01:00:00+01:00;37939
2019-03-28T02:00:00+01:00;47360
2019-03-28T03:00:00+01:00;423901
2019-03-28T04:00:00+01:00;30993
2019-03-28T05:00:00+01:00;35140
2019-03-28T06:00:00+01:00;212514
2019-03-28T07:00:00+01:00;81817
2019-03-28T08:00:00+01:00;111155
2019-03-28T09:00:00+01:00;85486
2019-03-28T10:00:00+01:00;233352
2019-03-28T11:00:00+01:00;99328
2019-03-28T12:00:00+01:00;130286
2019-03-28T13:00:00+01:00;232806
2019-03-28T14:00:00+01:00;216951
2019-03-28T15:00:00+01:00;114773
2019-03-28T16:00:00+01:00;99259
2019-03-28T17:00:00+01:00;77892
2019-03-28T18:00:00+01:00;215415
2019-03-28T19:00:00+01:00;87569
2019-03-28T20:00:00+01:00;42769
2019-03-28T21:00:00+01:00;36164
2019-03-28T22:00:00+01:00;44492
2019-03-28T23:00:00+01:00;60876
2019-03-29T00:00:00+01:00;68966
2019-03-29T01:00:00+01:00;81920
2019-03-29T02:00:00+01:00;284808
2019-03-29T03:00:00+01:00;32802
2019-03-29T04:00:00+01:00;36471
2019-03-29T05:00:00+01:00;48588
2019-03-29T06:00:00+01:00;47957
2019-03-29T07:00:00+01:00;58914
2019-03-29T08:00:00+01:00;129587
2019-03-29T09:00:00+01:00;235895
2019-03-29T10:00:00+01:00;85538
2019-03-29T11:00:00+01:00;71065
2019-03-29T12:00:00+01:00;120763
2019-03-29T13:00:00+01:00;97382
2019-03-29T14:00:00+01:00;148821
2019-03-29T15:00:00+01:00;67157
2019-03-29T16:00:00+01:00;146670
