"Time	CPU usage	ANB_read	ANB_write	AN_read	AN_write	Free_disk	B_rec	B_trans	P_rec	P_trans	Host_memory	Guest_memory	Com_storage"
"2019-03-05T02:00:00+01:00	1895533333	121395	1216904	5	41	2,39574E+11	78813	92518	14708	16085	17197939643	3885078937	4,93185E+11"
"2019-03-05T03:00:00+01:00	2978322033	439278	1964708	23	43	2,3961E+11	99557	117936	18370	20774	17198388102	4221673610	4,93185E+11"
"2019-03-05T04:00:00+01:00	2460733333	28757	2059776	1	80	2,3963E+11	411682	97826	18918	18427	17198673646	3303748403	4,93185E+11"
"2019-03-05T05:00:00+01:00	2807733333	40174	14561553	1	740	2,35748E+11	2061482	175155	50839	37787	17198603741	3810595089	4,93185E+11"
"2019-03-05T06:00:00+01:00	2331350000	121548	1111500	5	38	2,33165E+11	92876	112520	17177	19691	17198743552	3103348053	4,93185E+11"
"2019-03-05T07:00:00+01:00	2915583333	116684	836113	5	31	2,33165E+11	120627	144179	21960	24814	17199407650	3226398446	4,93185E+11"
"2019-03-05T08:00:00+01:00	3850350000	334848	1773243	12	40	2,34627E+11	709802	277828	33025	37032	17200700893	4099722444	4,93185E+11"
"2019-03-05T09:00:00+01:00	3589550000	112008	790357	5	31	2,34929E+11	154094	178210	27431	31156	17200438749	3472691473	4,93185E+11"
"2019-03-05T10:00:00+01:00	3333166666	269926	1208832	7	37	2,34828E+11	110882	161689	19943	22457	17200945561	3581481233	4,93185E+11"
"2019-03-05T11:00:00+01:00	3292383333	140885	987545	3	31	2,34828E+11	119022	138257	21246	23999	17200770798	3761906210	4,93185E+11"
"2019-03-05T12:00:00+01:00	3583633333	36420	950528	1	32	2,3481E+11	131310	200362	23748	26999	17200997990	3821919709	4,93185E+11"
"2019-03-05T13:00:00+01:00	3901400000	18551	967748	0	32	2,34722E+11	140509	173482	24515	27210	17201050419	3904949452	4,93185E+11"
"2019-03-05T14:00:00+01:00	4625200000	80196	842410	2	30	2,34722E+11	175496	216797	32645	35875	17201469849	3933680435	4,93185E+11"
"2019-03-05T15:00:00+01:00	3636716666	20531	748151	0	29	2,34643E+11	126941	159266	22155	24500	17201662088	3590044603	4,93185E+11"
"2019-03-05T16:00:00+01:00	3320133333	34508	898833	1	34	2,34617E+11	119552	227584	21946	25215	17200036795	3675888025	4,93185E+11"
