Time;Number of bytes received
2019-03-19T13:00:00+01:00;23726421
2019-03-19T14:00:00+01:00;14908654
2019-03-19T15:00:00+01:00;11165218
2019-03-19T16:00:00+01:00;6815379
2019-03-19T17:00:00+01:00;9058986
2019-03-19T18:00:00+01:00;17642683
2019-03-19T19:00:00+01:00;20718036
2019-03-19T20:00:00+01:00;25395968
2019-03-19T21:00:00+01:00;26804480
2019-03-19T22:00:00+01:00;25044411
2019-03-19T23:00:00+01:00;17463893
2019-03-20T00:00:00+01:00;9052791
2019-03-20T01:00:00+01:00;6273416
2019-03-20T02:00:00+01:00;3776682
2019-03-20T03:00:00+01:00;2924127
2019-03-20T04:00:00+01:00;2225046
2019-03-20T05:00:00+01:00;1731328
2019-03-20T06:00:00+01:00;2923537
2019-03-20T07:00:00+01:00;7070600
2019-03-20T08:00:00+01:00;4624571
2019-03-20T09:00:00+01:00;5181030
2019-03-20T10:00:00+01:00;6226184
2019-03-20T11:00:00+01:00;5727146
2019-03-20T12:00:00+01:00;13954594
2019-03-20T13:00:00+01:00;21508590
2019-03-20T14:00:00+01:00;12600250
2019-03-20T15:00:00+01:00;10468369
2019-03-20T16:00:00+01:00;14541209
2019-03-20T17:00:00+01:00;12751001
2019-03-20T18:00:00+01:00;16247842
2019-03-20T19:00:00+01:00;22799650
2019-03-20T20:00:00+01:00;27493102
2019-03-20T21:00:00+01:00;26789102
2019-03-20T22:00:00+01:00;31128456
2019-03-20T23:00:00+01:00;25066086
2019-03-21T00:00:00+01:00;13840349
2019-03-21T01:00:00+01:00;9168844
2019-03-21T02:00:00+01:00;4636672
2019-03-21T03:00:00+01:00;7534362
2019-03-21T04:00:00+01:00;3126852
2019-03-21T05:00:00+01:00;3094425
2019-03-21T06:00:00+01:00;2125363
2019-03-21T07:00:00+01:00;8504129
2019-03-21T08:00:00+01:00;8321853
2019-03-21T09:00:00+01:00;8207701
2019-03-21T10:00:00+01:00;7170986
2019-03-21T11:00:00+01:00;10472106
2019-03-21T12:00:00+01:00;14051796
2019-03-21T13:00:00+01:00;20707840
2019-03-21T14:00:00+01:00;20452198
2019-03-21T15:00:00+01:00;17961103
2019-03-21T16:00:00+01:00;20354389
2019-03-21T17:00:00+01:00;21003878
2019-03-21T18:00:00+01:00;17616844
2019-03-21T19:00:00+01:00;24239769
2019-03-21T20:00:00+01:00;23916155
2019-03-21T21:00:00+01:00;25040213
2019-03-21T22:00:00+01:00;27781666
2019-03-21T23:00:00+01:00;20187630
2019-03-22T00:00:00+01:00;11841587
2019-03-22T01:00:00+01:00;7118353
2019-03-22T02:00:00+01:00;3296785
2019-03-22T03:00:00+01:00;2996514
2019-03-22T04:00:00+01:00;4822545
2019-03-22T05:00:00+01:00;1694361
2019-03-22T06:00:00+01:00;3013137
2019-03-22T07:00:00+01:00;7665715
2019-03-22T08:00:00+01:00;5571464
2019-03-22T09:00:00+01:00;5662720
2019-03-22T10:00:00+01:00;8587963
2019-03-22T11:00:00+01:00;7278203
2019-03-22T12:00:00+01:00;4809676
2019-03-22T13:00:00+01:00;16188138
2019-03-22T14:00:00+01:00;12343521
