Time;Number of bytes transmitted
2019-03-25T04:00:00+01:00;5086025
2019-03-25T05:00:00+01:00;3207918
2019-03-25T06:00:00+01:00;3073484
2019-03-25T07:00:00+01:00;7226470
2019-03-25T08:00:00+01:00;7952622
2019-03-25T09:00:00+01:00;8403217
2019-03-25T10:00:00+01:00;6037606
2019-03-25T11:00:00+01:00;8377600
2019-03-25T12:00:00+01:00;21699341
2019-03-25T13:00:00+01:00;20685482
2019-03-25T14:00:00+01:00;7376520
2019-03-25T15:00:00+01:00;7113427
2019-03-25T16:00:00+01:00;8645120
2019-03-25T17:00:00+01:00;12664234
2019-03-25T18:00:00+01:00;21463739
2019-03-25T19:00:00+01:00;25475310
2019-03-25T20:00:00+01:00;26789835
2019-03-25T21:00:00+01:00;38543786
2019-03-25T22:00:00+01:00;41444369
2019-03-25T23:00:00+01:00;21536529
2019-03-26T00:00:00+01:00;8924333
2019-03-26T01:00:00+01:00;28848742
2019-03-26T02:00:00+01:00;14047744
2019-03-26T03:00:00+01:00;2758587
2019-03-26T04:00:00+01:00;7345950
2019-03-26T05:00:00+01:00;1396053
2019-03-26T06:00:00+01:00;1340074
2019-03-26T07:00:00+01:00;7221009
2019-03-26T08:00:00+01:00;8200120
2019-03-26T09:00:00+01:00;5928413
2019-03-26T10:00:00+01:00;8118852
2019-03-26T11:00:00+01:00;14708059
2019-03-26T12:00:00+01:00;18032076
2019-03-26T13:00:00+01:00;22769442
2019-03-26T14:00:00+01:00;14417527
2019-03-26T15:00:00+01:00;16209885
2019-03-26T16:00:00+01:00;9190912
2019-03-26T17:00:00+01:00;11131747
2019-03-26T18:00:00+01:00;31743078
2019-03-26T19:00:00+01:00;27236404
2019-03-26T20:00:00+01:00;22117512
2019-03-26T21:00:00+01:00;23957196
2019-03-26T22:00:00+01:00;25524992
2019-03-26T23:00:00+01:00;20963720
2019-03-27T00:00:00+01:00;8311176
2019-03-27T01:00:00+01:00;21478809
2019-03-27T02:00:00+01:00;2115140
2019-03-27T03:00:00+01:00;3408298
2019-03-27T04:00:00+01:00;8200469
2019-03-27T05:00:00+01:00;7272951
2019-03-27T06:00:00+01:00;8796484
2019-03-27T07:00:00+01:00;29347549
2019-03-27T08:00:00+01:00;16161518
2019-03-27T09:00:00+01:00;4339660
2019-03-27T10:00:00+01:00;4942250
2019-03-27T11:00:00+01:00;4912179
2019-03-27T12:00:00+01:00;23829261
2019-03-27T13:00:00+01:00;18555118
2019-03-27T14:00:00+01:00;5933875
2019-03-27T15:00:00+01:00;7027797
2019-03-27T16:00:00+01:00;10703906
2019-03-27T17:00:00+01:00;10336170
2019-03-27T18:00:00+01:00;20783138
2019-03-27T19:00:00+01:00;21800005
2019-03-27T20:00:00+01:00;21803929
2019-03-27T21:00:00+01:00;25323867
2019-03-27T22:00:00+01:00;29037482
2019-03-27T23:00:00+01:00;19196330
2019-03-28T00:00:00+01:00;10357452
2019-03-28T01:00:00+01:00;24491605
2019-03-28T02:00:00+01:00;4515486
2019-03-28T03:00:00+01:00;4259686
2019-03-28T04:00:00+01:00;8512105
2019-03-28T05:00:00+01:00;8092467
2019-03-28T06:00:00+01:00;2491323
2019-03-28T07:00:00+01:00;8863590
2019-03-28T08:00:00+01:00;6518219
2019-03-28T09:00:00+01:00;9180910
2019-03-28T10:00:00+01:00;8059818
2019-03-28T11:00:00+01:00;11110365
2019-03-28T12:00:00+01:00;17145651
2019-03-28T13:00:00+01:00;22112597
2019-03-28T14:00:00+01:00;20001253
