Time;Number of packets received on interface Network adapter 1
2019-03-24T22:00:00+01:00;9888
2019-03-24T23:00:00+01:00;7109
2019-03-25T00:00:00+01:00;4145
2019-03-25T01:00:00+01:00;3264
2019-03-25T02:00:00+01:00;2649
2019-03-25T03:00:00+01:00;2755
2019-03-25T04:00:00+01:00;2533
2019-03-25T05:00:00+01:00;1944
2019-03-25T06:00:00+01:00;3254
2019-03-25T07:00:00+01:00;3980
2019-03-25T08:00:00+01:00;9214
2019-03-25T09:00:00+01:00;9407
2019-03-25T10:00:00+01:00;10450
2019-03-25T11:00:00+01:00;9018
2019-03-25T12:00:00+01:00;10478
2019-03-25T13:00:00+01:00;10092
2019-03-25T14:00:00+01:00;17412
2019-03-25T15:00:00+01:00;9863
2019-03-25T16:00:00+01:00;9632
2019-03-25T17:00:00+01:00;8544
2019-03-25T18:00:00+01:00;8622
2019-03-25T19:00:00+01:00;8941
2019-03-25T20:00:00+01:00;8592
2019-03-25T21:00:00+01:00;9213
2019-03-25T22:00:00+01:00;6853
2019-03-25T23:00:00+01:00;4332
2019-03-26T00:00:00+01:00;1856
2019-03-26T01:00:00+01:00;2887
2019-03-26T02:00:00+01:00;1691
2019-03-26T03:00:00+01:00;1739
2019-03-26T04:00:00+01:00;1723
2019-03-26T05:00:00+01:00;1833
2019-03-26T06:00:00+01:00;3346
2019-03-26T07:00:00+01:00;2512
2019-03-26T08:00:00+01:00;10170
2019-03-26T09:00:00+01:00;9746
2019-03-26T10:00:00+01:00;11452
2019-03-26T11:00:00+01:00;9311
2019-03-26T12:00:00+01:00;8400
2019-03-26T13:00:00+01:00;12126
2019-03-26T14:00:00+01:00;18425
2019-03-26T15:00:00+01:00;10871
2019-03-26T16:00:00+01:00;13778
2019-03-26T17:00:00+01:00;10838
2019-03-26T18:00:00+01:00;7770
2019-03-26T19:00:00+01:00;8442
2019-03-26T20:00:00+01:00;10922
2019-03-26T21:00:00+01:00;10255
2019-03-26T22:00:00+01:00;8263
2019-03-26T23:00:00+01:00;8290
2019-03-27T00:00:00+01:00;4112
2019-03-27T01:00:00+01:00;2897
2019-03-27T02:00:00+01:00;1524
2019-03-27T03:00:00+01:00;1706
2019-03-27T04:00:00+01:00;2714
2019-03-27T05:00:00+01:00;3195
2019-03-27T06:00:00+01:00;1473
2019-03-27T07:00:00+01:00;3398
2019-03-27T08:00:00+01:00;13802
2019-03-27T09:00:00+01:00;10414
2019-03-27T10:00:00+01:00;9630
2019-03-27T11:00:00+01:00;9917
2019-03-27T12:00:00+01:00;5986
2019-03-27T13:00:00+01:00;11778
2019-03-27T14:00:00+01:00;12262
2019-03-27T15:00:00+01:00;6725
2019-03-27T16:00:00+01:00;15551
2019-03-27T17:00:00+01:00;8356
2019-03-27T18:00:00+01:00;7427
2019-03-27T19:00:00+01:00;7062
2019-03-27T20:00:00+01:00;9473
2019-03-27T21:00:00+01:00;7552
2019-03-27T22:00:00+01:00;5933
2019-03-27T23:00:00+01:00;5020
2019-03-28T00:00:00+01:00;2764
2019-03-28T01:00:00+01:00;1447
2019-03-28T02:00:00+01:00;2636
2019-03-28T03:00:00+01:00;2302
2019-03-28T04:00:00+01:00;3414
2019-03-28T05:00:00+01:00;4378
2019-03-28T06:00:00+01:00;2382
2019-03-28T07:00:00+01:00;3190
2019-03-28T08:00:00+01:00;8674
2019-03-28T09:00:00+01:00;5400
2019-03-28T10:00:00+01:00;12380
2019-03-28T11:00:00+01:00;9683
2019-03-28T12:00:00+01:00;8576
2019-03-28T13:00:00+01:00;12875
2019-03-28T14:00:00+01:00;13734
2019-03-28T15:00:00+01:00;11005
2019-03-28T16:00:00+01:00;11215
2019-03-28T17:00:00+01:00;12830
2019-03-28T18:00:00+01:00;9639
2019-03-28T19:00:00+01:00;7128
2019-03-28T20:00:00+01:00;11472
2019-03-28T21:00:00+01:00;9329
2019-03-28T22:00:00+01:00;11494
