Time;CPU_usage;ANB_read;ANB_write;AN_read;AN_write;Free_disk;B_rec;B_trans;P_rec;P_trans;H_memory;G_memory;C_storage
2019-03-05T19:00:00+01:00;242833333;8465;7185;0;0;75777839104;425574;1052023;8088;8043;17173315584;809902626;1,22E+11
2019-03-05T20:00:00+01:00;319100000;170;11349;0;0;75777839104;732774;1354376;10878;10246;17173402965;1093332718;1,22E+11
2019-03-05T21:00:00+01:00;274366666;17;6451;0;0;75777839104;463308;1701717;9739;9441;17172354389;689613482;1,22E+11
2019-03-05T22:00:00+01:00;661750000;819;6178;0;0;75777839104;2441164;4663842;17883;12430;17172791296;1975255040;1,22E+11
2019-03-05T23:00:00+01:00;159966666;0;5939;0;0;75777839104;321245;1504358;5488;5682;17173350536;643790711;1,22E+11
2019-03-06T00:00:00+01:00;98000000;529;4556;0;0;75777839104;182408;1347601;4507;4204;17172738867;620844373;1,22E+11
2019-03-06T01:00:00+01:00;63900000;0;3054;0;0;75777839104;54545;100198;1550;1604;17172843724;299892736;1,22E+11
2019-03-06T02:00:00+01:00;75266666;31812;4113;3;0;75777839104;90060;48964;2401;1890;17172494199;342884352;1,22E+11
2019-03-06T03:00:00+01:00;55100000;51;2798;0;0;75777839104;112332;201540;1878;1868;17172529152;331419921;1,22E+11
2019-03-06T04:00:00+01:00;61700000;119;3379;0;0;75777839104;57344;34184;1677;1776;17172529152;279829981;1,22E+11
2019-03-06T05:00:00+01:00;109366666;170;3310;0;0;75777839104;182937;559769;5809;5953;17172529152;368679321;1,22E+11
2019-03-06T06:00:00+01:00;77466666;154129;49425;9;0;75777839104;84326;47240;2237;2186;17173682585;474672878;1,22E+11
2019-03-06T07:00:00+01:00;116333333;0;3993;0;0;75777839104;186692;1056597;4050;4478;17174626304;646621866;1,22E+11
2019-03-06T08:00:00+01:00;385833333;34;17237;0;0;75777839104;543027;839116;10562;10658;17175255449;864253815;1,22E+11
2019-03-06T09:00:00+01:00;458433333;34;7338;0;0;75777839104;1047261;2332279;14422;13750;17175570022;824198212;1,22E+11
2019-03-06T10:00:00+01:00;431300000;0;6690;0;0;75777839104;595694;3737617;12029;11534;17174713685;1073287441;1,22E+11
2019-03-06T11:00:00+01:00;288300000;102;5341;0;0;75777839104;486707;6240819;11477;12308;17173892300;1325260253;1,22E+11
2019-03-06T12:00:00+01:00;186733333;102;5188;0;0;75777839104;298086;246016;6107;6039;17172529152;867172352;1,22E+11
2019-03-06T13:00:00+01:00;379583333;34;7458;0;0;75777839104;422673;467780;8259;8247;17172529152;872939520;1,22E+11
2019-03-06T14:00:00+01:00;574666666;204;9386;0;0;75777839104;955818;2503236;17410;17015;17172511675;1073304917;1,22E+11
2019-03-06T15:00:00+01:00;389866666;102;6092;0;0;75777839104;588305;525909;10780;10531;17172494199;990275174;1,22E+11
2019-03-06T16:00:00+01:00;386933333;273;6775;0;0;75777839104;447453;1639236;9779;10190;17172336913;918657433;1,22E+11
2019-03-06T17:00:00+01:00;272166666;119;6382;0;0;75777839104;366062;513843;7543;7312;17172529152;829930427;1,22E+11
2019-03-06T18:00:00+01:00;232933333;17;5683;0;0;75777839104;381149;1743957;5116;5174;17172476723;927360614;1,22E+11
2019-03-06T19:00:00+01:00;620016666;17;46557;0;0;75777839104;689612;3895620;11943;9421;17172546628;1603080465;1,22E+11
2019-03-06T20:00:00+01:00;275833333;3566;6348;0;0;75777839104;456038;2002756;9458;9530;17172843724;1207802265;1,22E+11
2019-03-06T21:00:00+01:00;274366666;34;6451;0;0;75777839104;386286;1251003;7428;7756;17172511675;1187791940;1,22E+11
2019-03-06T22:00:00+01:00;269966666;85;5666;0;0;75639042048;404497;357546;7526;7507;17172564104;870055936;1,22E+11
2019-03-06T23:00:00+01:00;186000000;0;5307;0;0;75639042048;289979;718045;5608;5700;17173105868;675247991;1,22E+11
2019-03-07T00:00:00+01:00;107533333;0;93849;0;0;75639042048;107656;77516;2195;2126;17172529152;649470498;1,22E+11
2019-03-07T01:00:00+01:00;72333333;0;3208;0;0;75639042048;130662;37819;2740;2694;17172511675;534896093;1,22E+11
2019-03-07T02:00:00+01:00;63533333;35123;4454;2;0;75639042048;43997;72379;1135;1103;17171480576;448912861;1,22E+11
2019-03-07T03:00:00+01:00;41166666;102;3566;0;0;75639042048;85213;24337;2419;1894;17172249531;340018244;1,22E+11
2019-03-07T04:00:00+01:00;77833333;119;3584;0;0;75639042048;105301;75434;3526;3479;17172301960;454627601;1,22E+11
2019-03-07T05:00:00+01:00;58766666;136;4249;0;0;75639042048;52940;26589;2006;1933;17172529152;411670937;1,22E+11
2019-03-07T06:00:00+01:00;64633333;68;3276;0;0;75726756249;58675;23278;1623;1690;17173717538;400206506;1,22E+11
2019-03-07T07:00:00+01:00;122933333;68;4130;0;0;75785232384;214510;115131;4124;3710;17174626304;620896802;1,22E+11
2019-03-07T08:00:00+01:00;376666666;204;8038;0;0;75785232384;649984;870638;11169;11101;17175535069;738372266;1,22E+11
2019-03-07T09:00:00+01:00;288300000;34;6451;0;0;75785232384;389580;2212317;8566;9373;17175203020;640942080;1,22E+11
2019-03-07T10:00:00+01:00;437166666;153;6382;0;0;75785232384;564002;2659601;10744;11125;17175290402;778445346;1,22E+11
2019-03-07T11:00:00+01:00;294533333;17;7321;0;0;75785232384;402176;1593685;8601;8175;17173053440;1070561143;1,22E+11
2019-03-07T12:00:00+01:00;252366666;2286;23005;0;0;75785232384;362137;2193015;7609;7659;17171375718;746848256;1,22E+11
2019-03-07T13:00:00+01:00;348066666;0;6604;0;0;75785232384;574515;3772859;10722;11016;17171270860;1093297766;1,22E+11
2019-03-07T14:00:00+01:00;444500000;34;186060;0;0;75785232384;782796;5001335;14022;14322;17172057292;1079037132;1,22E+11
2019-03-07T15:00:00+01:00;432766666;1621;8004;0;0;75785232384;646178;1918668;12835;12747;17172529152;1101861137;1,22E+11
2019-03-07T16:00:00+01:00;492533333;102;7748;0;0;75785232384;603869;6682180;13986;15560;17172529152;1585831389;1,22E+11
2019-03-07T17:00:00+01:00;473100000;0;7816;0;0;75785232384;744994;978892;13189;12943;17172529152;1187722035;1,22E+11
2019-03-07T18:00:00+01:00;352100000;0;6348;0;0;75785232384;350993;5096704;8089;8595;17172092245;1333876053;1,22E+11
2019-03-07T19:00:00+01:00;327166666;0;6280;0;0;75785232384;462745;3955899;9813;10269;17170064998;1193594060;1,22E+11
2019-03-07T20:00:00+01:00;338166666;0;6690;0;0;75785232384;538760;1570645;10225;10109;17171480576;1090466611;1,22E+11
2019-03-07T21:00:00+01:00;313966666;0;7065;0;0;75785232384;558370;1567027;9561;9396;17172529152;1156387089;1,22E+11
2019-03-07T22:00:00+01:00;298916666;0;72123;0;0;75670339584;231611;729548;5605;5653;17172529152;1016070144;1,22E+11
2019-03-07T23:00:00+01:00;154833333;0;5205;0;0;75628560384;134741;1192635;3283;3524;17172529152;775474380;1,22E+11
2019-03-08T00:00:00+01:00;122566666;580;4932;0;0;75628560384;141004;85435;3313;3263;17172546628;460377292;1,22E+11
2019-03-08T01:00:00+01:00;80766666;0;4403;0;0;75628560384;112776;1860300;3402;3658;17172459246;775421952;1,22E+11
2019-03-08T02:00:00+01:00;79666666;0;8277;0;0;75628560384;68113;29508;2117;2088;17172616533;491921954;1,22E+11
2019-03-08T03:00:00+01:00;66100000;0;5478;0;0;75628560384;135116;75366;2652;2617;17172651485;500520277;1,22E+11
2019-03-08T04:00:00+01:00;72333333;0;5222;0;0;75628560384;64512;58880;2319;2224;17171498052;477591415;1,22E+11
2019-03-08T05:00:00+01:00;81866666;0;5768;0;0;75628560384;122043;46933;3631;3623;17171533004;414537045;1,22E+11
2019-03-08T06:00:00+01:00;91033333;17612;40430;0;1;75705709363;131669;50449;3184;3171;17173088392;589264759;1,22E+11
2019-03-08T07:00:00+01:00;155933333;0;5324;0;0;75757142016;210107;115114;4486;4399;17174591351;895693619;1,22E+11
2019-03-08T08:00:00+01:00;467966666;0;8601;0;0;75757142016;566203;4114875;11620;12338;17174626304;1262293265;1,22E+11
2019-03-08T09:00:00+01:00;387283333;17;11861;0;0;75753424486;451959;317320;8932;8841;17175307878;1070508714;1,22E+11
2019-03-08T10:00:00+01:00;331200000;51;5614;0;0;75747848192;468019;515891;10269;10370;17175639927;973148433;1,22E+11
2019-03-08T11:00:00+01:00;369700000;51;11502;0;0;75747848192;609706;2304648;11301;10862;17173368012;1053312068;1,22E+11
2019-03-08T12:00:00+01:00;308833333;0;7133;0;0;75747848192;533981;3666858;9401;9699;17173490346;858521600;1,22E+11
2019-03-08T13:00:00+01:00;338166666;682;7287;0;0;75747848192;552891;6519773;10904;12442;17173210726;1348189115;1,22E+11
2019-03-08T14:00:00+01:00;593366666;204;12765;0;0;75747848192;803618;4897280;16143;16909;17173577728;1299412855;1,22E+11
2019-03-08T15:00:00+01:00;315800000;0;6707;0;0;75747848192;456465;329284;9040;9018;17173175773;752650376;1,22E+11
2019-03-08T16:00:00+01:00;291233333;0;6673;0;0;75747848192;491042;1563716;9939;9949;17173577728;895781000;1,22E+11
2019-03-08T17:00:00+01:00;194800000;34;5819;0;0;75747848192;318242;344251;4520;4370;17172599057;741238374;1,22E+11
2019-03-08T18:00:00+01:00;194800000;0;6246;0;0;75747848192;350037;260864;5826;5829;17173577728;563574647;1,22E+11
2019-03-08T19:00:00+01:00;195166666;187;5785;0;0;75747848192;200994;452676;4517;4500;17172616533;712559820;1,22E+11
2019-03-08T20:00:00+01:00;143833333;0;4949;0;0;75747848192;210090;1276945;4509;4741;17173577728;698124424;1,22E+11
2019-03-08T21:00:00+01:00;158866666;0;5017;0;0;75747848192;257194;662596;4845;5232;17172494199;735401301;1,22E+11
2019-03-08T22:00:00+01:00;114133333;0;4864;0;0;75747848192;148224;691763;3771;3803;17173420441;574934220;1,22E+11
2019-03-08T23:00:00+01:00;113766666;85;4966;0;0;75747848192;188569;349218;4221;4129;17172529152;652389034;1,22E+11
2019-03-09T00:00:00+01:00;84433333;580;4113;0;0;75747848192;99225;622267;2457;2593;17172529152;526315246;1,22E+11
2019-03-09T01:00:00+01:00;52166666;0;3191;0;0;75747848192;37324;39133;1177;1175;17172529152;509118600;1,22E+11
2019-03-09T02:00:00+01:00;69033333;0;2269;0;0;75747848192;114688;43178;3251;2691;17172564104;497654169;1,22E+11
2019-03-09T03:00:00+01:00;1441633333;145715;26555;3;1;75747848192;37847296;10865476;113251;47242;17172389341;8967421952;1,22E+11
2019-03-09T04:00:00+01:00;1648133333;29218;21623;2;1;75747848192;48590506;10527419;139112;56481;17172599057;11137729604;1,22E+11
2019-03-09T05:00:00+01:00;1713633333;141738;24371;4;2;75747848192;51808119;4473565;136152;53779;17171725243;9849326796;1,22E+11
2019-03-09T06:00:00+01:00;1205300000;153497;12066;15;0;75747848192;19431270;1853661;70385;41346;17174032110;6834286318;1,22E+11
2019-03-09T07:00:00+01:00;943133333;6894;3925;1;0;75747848192;7542613;7850444;51993;36368;17174486493;3106249113;1,22E+11
2019-03-09T08:00:00+01:00;1185766666;68505;6195;4;0;75747848192;19555720;7360290;77293;38455;17174713685;7799098572;1,22E+11
2019-03-09T09:00:00+01:00;701166666;3840;5222;0;0;75747848192;2015812;2256384;35691;31813;17173892300;1104797149;1,22E+11
2019-03-09T10:00:00+01:00;1514100000;31641;11639;4;0;75747848192;26952328;9160635;94341;46980;17173035963;9299593352;1,22E+11
2019-03-09T11:00:00+01:00;1340583333;62327;10240;3;0;75747848192;21451298;4376797;83538;47402;17173280631;6553634952;1,22E+11
2019-03-09T12:00:00+01:00;1584216666;234001;13858;7;0;75747848192;43807658;11321275;136253;59537;17173175773;10479206400;1,22E+11
2019-03-09T13:00:00+01:00;1014250000;7237;7011;0;0;75747848192;5363541;3668667;46959;38884;17173280631;2544946380;1,22E+11
2019-03-09T14:00:00+01:00;1099333333;117043;12765;13;0;75747848192;21227639;11250926;81766;46503;17173402965;6857110323;1,22E+11
2019-03-09T15:00:00+01:00;261166666;9420;7406;1;0;75747848192;960170;2072866;10700;10742;17173263155;772643225;1,22E+11
2019-03-09T16:00:00+01:00;274366666;23842;9437;1;0;75747848192;625988;3793698;10965;10791;17173577728;872834662;1,22E+11
2019-03-09T17:00:00+01:00;305533333;716;8038;0;0;75747848192;736819;2812450;11688;11895;17172861201;884351522;1,22E+11
2019-03-09T18:00:00+01:00;257133333;477;8669;0;0;75747848192;631910;3136921;9451;10238;17172721390;827011891;1,22E+11
