Time;Guest memory usage
2019-03-16T13:00:00+01:00;7873669802
2019-03-16T14:00:00+01:00;6104057992
2019-03-16T15:00:00+01:00;10997517516
2019-03-16T16:00:00+01:00;6676772727
2019-03-16T17:00:00+01:00;5519931255
2019-03-16T18:00:00+01:00;10356103577
2019-03-16T19:00:00+01:00;8818454254
2019-03-16T20:00:00+01:00;577887709
2019-03-16T21:00:00+01:00;738389742
2019-03-16T22:00:00+01:00;643755758
2019-03-16T23:00:00+01:00;675300420
2019-03-17T00:00:00+01:00;391608183
2019-03-17T01:00:00+01:00;428867584
2019-03-17T02:00:00+01:00;480457523
2019-03-17T03:00:00+01:00;365813213
2019-03-17T04:00:00+01:00;434564846
2019-03-17T05:00:00+01:00;460342340
2019-03-17T06:00:00+01:00;557667669
2019-03-17T07:00:00+01:00;428867584
2019-03-17T08:00:00+01:00;577870233
2019-03-17T09:00:00+01:00;689630958
2019-03-17T10:00:00+01:00;870073412
2019-03-17T11:00:00+01:00;718204654
2019-03-17T12:00:00+01:00;741238374
2019-03-17T13:00:00+01:00;749784268
2019-03-17T14:00:00+01:00;744034577
2019-03-17T15:00:00+01:00;990310126
2019-03-17T16:00:00+01:00;887217629
2019-03-17T17:00:00+01:00;1021697501
2019-03-17T18:00:00+01:00;1093315242
2019-03-17T19:00:00+01:00;629460172
2019-03-17T20:00:00+01:00;878654259
2019-03-17T21:00:00+01:00;729773943
2019-03-17T22:00:00+01:00;852894242
2019-03-17T23:00:00+01:00;913047552
2019-03-18T00:00:00+01:00;597863082
2019-03-18T01:00:00+01:00;371545429
2019-03-18T02:00:00+01:00;557807479
2019-03-18T03:00:00+01:00;466057079
2019-03-18T04:00:00+01:00;446046754
2019-03-18T05:00:00+01:00;371545429
2019-03-18T06:00:00+01:00;471859200
2019-03-18T07:00:00+01:00;569306862
2019-03-18T08:00:00+01:00;1001949320
2019-03-18T09:00:00+01:00;786991240
2019-03-18T10:00:00+01:00;827099272
2019-03-18T11:00:00+01:00;735453730
2019-03-18T12:00:00+01:00;921488588
2019-03-18T13:00:00+01:00;1213569433
2019-03-18T14:00:00+01:00;852876765
2019-03-18T15:00:00+01:00;764132283
2019-03-18T16:00:00+01:00;649522926
2019-03-18T17:00:00+01:00;732535193
2019-03-18T18:00:00+01:00;867189828
2019-03-18T19:00:00+01:00;867137399
2019-03-18T20:00:00+01:00;804240315
2019-03-18T21:00:00+01:00;1076171025
2019-03-18T22:00:00+01:00;766876057
2019-03-18T23:00:00+01:00;692549495
2019-03-19T00:00:00+01:00;672434312
2019-03-19T01:00:00+01:00;603612774
2019-03-19T02:00:00+01:00;566388326
2019-03-19T03:00:00+01:00;368679321
2019-03-19T04:00:00+01:00;365795737
2019-03-19T05:00:00+01:00;466074555
2019-03-19T06:00:00+01:00;509118600
2019-03-19T07:00:00+01:00;597967940
2019-03-19T08:00:00+01:00;726890359
2019-03-19T09:00:00+01:00;827116748
2019-03-19T10:00:00+01:00;878741640
2019-03-19T11:00:00+01:00;947318510
2019-03-19T12:00:00+01:00;746935637
2019-03-19T13:00:00+01:00;861579946
2019-03-19T14:00:00+01:00;955881881
2019-03-19T15:00:00+01:00;875735722
2019-03-19T16:00:00+01:00;835715072
2019-03-19T17:00:00+01:00;789944729
2019-03-19T18:00:00+01:00;887165201
2019-03-19T19:00:00+01:00;789909777
2019-03-19T20:00:00+01:00;864393625
2019-03-19T21:00:00+01:00;898734489
2019-03-19T22:00:00+01:00;832814011
2019-03-19T23:00:00+01:00;769881975
2019-03-20T00:00:00+01:00;738267409
2019-03-20T01:00:00+01:00;500520277
2019-03-20T02:00:00+01:00;468993092
2019-03-20T03:00:00+01:00;460394769
2019-03-20T04:00:00+01:00;403072614
2019-03-20T05:00:00+01:00;460394769
2019-03-20T06:00:00+01:00;397340398
2019-03-20T07:00:00+01:00;560673587
