Time;Number of bytes transmitted on interface Network adapter 1
2019-03-16T23:00:00+01:00;28586
2019-03-17T00:00:00+01:00;11417
2019-03-17T01:00:00+01:00;3618
2019-03-17T02:00:00+01:00;3498
2019-03-17T03:00:00+01:00;12526
2019-03-17T04:00:00+01:00;3805
2019-03-17T05:00:00+01:00;9318
2019-03-17T06:00:00+01:00;3174
2019-03-17T07:00:00+01:00;3737
2019-03-17T08:00:00+01:00;12168
2019-03-17T09:00:00+01:00;4164
2019-03-17T10:00:00+01:00;19626
2019-03-17T11:00:00+01:00;9369
2019-03-17T12:00:00+01:00;15496
2019-03-17T13:00:00+01:00;7884
2019-03-17T14:00:00+01:00;35857
2019-03-17T15:00:00+01:00;10086
2019-03-17T16:00:00+01:00;11741
2019-03-17T17:00:00+01:00;30395
2019-03-17T18:00:00+01:00;63863
2019-03-17T19:00:00+01:00;5768
2019-03-17T20:00:00+01:00;19575
2019-03-17T21:00:00+01:00;6485
2019-03-17T22:00:00+01:00;12390
2019-03-17T23:00:00+01:00;27989
2019-03-18T00:00:00+01:00;4573
2019-03-18T01:00:00+01:00;8413
2019-03-18T02:00:00+01:00;18432
2019-03-18T03:00:00+01:00;3396
2019-03-18T04:00:00+01:00;10427
2019-03-18T05:00:00+01:00;8652
2019-03-18T06:00:00+01:00;26760
2019-03-18T07:00:00+01:00;8311
2019-03-18T08:00:00+01:00;33774
2019-03-18T09:00:00+01:00;36932
2019-03-18T10:00:00+01:00;51626
2019-03-18T11:00:00+01:00;17032
2019-03-18T12:00:00+01:00;91460
2019-03-18T13:00:00+01:00;27118
2019-03-18T14:00:00+01:00;32136
2019-03-18T15:00:00+01:00;38365
2019-03-18T16:00:00+01:00;25582
2019-03-18T17:00:00+01:00;12356
2019-03-18T18:00:00+01:00;65848
2019-03-18T19:00:00+01:00;19473
2019-03-18T20:00:00+01:00;4078
2019-03-18T21:00:00+01:00;16810
2019-03-18T22:00:00+01:00;13312
2019-03-18T23:00:00+01:00;33638
2019-03-19T00:00:00+01:00;2372
2019-03-19T01:00:00+01:00;17493
2019-03-19T02:00:00+01:00;6519
2019-03-19T03:00:00+01:00;3054
2019-03-19T04:00:00+01:00;31197
2019-03-19T05:00:00+01:00;14011
2019-03-19T06:00:00+01:00;40465
2019-03-19T07:00:00+01:00;16486
2019-03-19T08:00:00+01:00;28569
2019-03-19T09:00:00+01:00;26316
2019-03-19T10:00:00+01:00;43366
2019-03-19T11:00:00+01:00;16810
2019-03-19T12:00:00+01:00;62856
2019-03-19T13:00:00+01:00;27869
2019-03-19T14:00:00+01:00;29593
2019-03-19T15:00:00+01:00;36010
2019-03-19T16:00:00+01:00;16349
2019-03-19T17:00:00+01:00;16128
2019-03-19T18:00:00+01:00;62156
2019-03-19T19:00:00+01:00;18722
2019-03-19T20:00:00+01:00;13277
2019-03-19T21:00:00+01:00;4795
2019-03-19T22:00:00+01:00;22186
2019-03-19T23:00:00+01:00;37717
2019-03-20T00:00:00+01:00;6877
2019-03-20T01:00:00+01:00;18978
2019-03-20T02:00:00+01:00;9472
2019-03-20T03:00:00+01:00;6519
2019-03-20T04:00:00+01:00;27255
2019-03-20T05:00:00+01:00;14609
2019-03-20T06:00:00+01:00;18295
2019-03-20T07:00:00+01:00;12987
2019-03-20T08:00:00+01:00;29149
2019-03-20T09:00:00+01:00;30344
2019-03-20T10:00:00+01:00;59101
2019-03-20T11:00:00+01:00;28774
2019-03-20T12:00:00+01:00;72601
2019-03-20T13:00:00+01:00;23944
2019-03-20T14:00:00+01:00;20855
2019-03-20T15:00:00+01:00;38877
2019-03-20T16:00:00+01:00;12834
2019-03-20T17:00:00+01:00;12236
2019-03-20T18:00:00+01:00;64251
2019-03-20T19:00:00+01:00;17152
2019-03-20T20:00:00+01:00;5239
2019-03-20T21:00:00+01:00;10188
2019-03-20T22:00:00+01:00;7782
2019-03-20T23:00:00+01:00;42700
2019-03-21T00:00:00+01:00;17544
2019-03-21T01:00:00+01:00;4454
2019-03-21T02:00:00+01:00;3686
2019-03-21T03:00:00+01:00;2696
2019-03-21T04:00:00+01:00;10956
2019-03-21T05:00:00+01:00;22425
2019-03-21T06:00:00+01:00;35362
2019-03-21T07:00:00+01:00;12134
2019-03-21T08:00:00+01:00;35584
