Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status;RLATE;WLATE
2019-05-19T23:00:00+02:00;17814866666;2,34508E+11;19208960;18945006;1;9;6
2019-05-20T00:00:00+02:00;16000733333;2,3458E+11;16525448;26692232;1;11;18
2019-05-20T01:00:00+02:00;14403866666;2,346E+11;8974353;32145544;1;9;14
2019-05-20T02:00:00+02:00;14057583333;2,3458E+11;6592768;31939362;1;11;14
2019-05-20T03:00:00+02:00;13380750000;2,34587E+11;6029346;14960657;1;15;17
2019-05-20T04:00:00+02:00;15188950000;2,34581E+11;15973171;16297352;1;15;30
2019-05-20T05:00:00+02:00;13993000000;2,34448E+11;3854544;4100842;1;11;6
2019-05-20T06:00:00+02:00;13093033333;2,34511E+11;3388654;3040290;1;5;10
2019-05-20T07:00:00+02:00;13439316666;2,34392E+11;4964299;6140980;1;8;5
2019-05-20T08:00:00+02:00;14518900000;2,34442E+11;6914474;7117499;1;9;8
2019-05-20T09:00:00+02:00;16504866666;2,34476E+11;9379027;16066189;1;12;12
2019-05-20T10:00:00+02:00;17602033333;2,34538E+11;15421166;16122487;1;18;12
2019-05-20T11:00:00+02:00;18139100000;2,34566E+11;16400128;16759859;1;16;13
2019-05-20T12:00:00+02:00;17915833333;2,34572E+11;23447808;27091950;1;13;8
