Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status;RLATE;WLATE
2019-02-10T06:00:00+01:00;10000866666;2,37284E+11;2042671;1800087;1;7;1
2019-02-10T07:00:00+01:00;10327450000;2,37498E+11;2040644;1557555;1;9;3
2019-02-10T08:00:00+01:00;10817600000;2,37943E+11;3381265;3629619;1;10;0
2019-02-10T09:00:00+01:00;11938266666;2,37713E+11;8219943;8105029;1;7;0
2019-02-10T10:00:00+01:00;12924800000;2,35543E+11;14225834;13852416;1;10;1
2019-02-10T11:00:00+01:00;14552800000;2,35257E+11;22468343;22108248;1;11;5
2019-02-10T12:00:00+01:00;15982883333;2,35545E+11;20629401;23953800;1;9;6
2019-02-10T13:00:00+01:00;16093550000;2,35416E+11;25322461;25147339;1;8;3
2019-02-10T14:00:00+01:00;16939000000;2,35408E+11;28018328;28906352;1;9;14
2019-02-10T15:00:00+01:00;15820683333;2,3545E+11;24579686;30768674;1;10;14
2019-02-10T16:00:00+01:00;14059633333;2,35513E+11;27204625;26913996;1;8;2
2019-02-10T17:00:00+01:00;14372383333;2,35463E+11;30219485;41110391;1;13;6
2019-02-10T18:00:00+01:00;16901033333;2,28057E+11;28746990;31012625;1;8;4
2019-02-10T19:00:00+01:00;16544766666;2,23058E+11;30375577;30027042;1;13;4
2019-02-10T20:00:00+01:00;17193466666;2,23599E+11;34224844;33858372;1;9;15
2019-02-10T21:00:00+01:00;18817416666;2,23122E+11;45462084;46225800;1;11;5
2019-02-10T22:00:00+01:00;17992100000;2,28007E+11;48979780;44495513;1;10;14
2019-02-10T23:00:00+01:00;15190316666;2,37974E+11;29314724;31019667;1;7;5
2019-02-11T00:00:00+01:00;12822450000;2,37603E+11;20159010;19850069;1;8;7
2019-02-11T01:00:00+01:00;12817833333;2,37914E+11;11658854;34821393;1;12;14
2019-02-11T02:00:00+01:00;10651850000;2,38237E+11;5827140;15578385;1;11;20
2019-02-11T03:00:00+01:00;10860233333;2,38329E+11;3121851;8287863;1;12;8
2019-02-11T04:00:00+01:00;9892450000;2,37775E+11;2653371;3324569;1;14;19
2019-02-11T05:00:00+01:00;10321500000;2,37544E+11;2876009;2526808;1;6;2
2019-02-11T06:00:00+01:00;10911450000;2,37626E+11;3332958;2988319;1;12;6
2019-02-11T07:00:00+01:00;11610400000;2,37634E+11;6841139;6653525;1;16;1
2019-02-11T08:00:00+01:00;15717466666;2,37891E+11;8006117;7922306;1;21;4
2019-02-11T09:00:00+01:00;16484533333;2,38138E+11;6687744;7564936;1;26;15
2019-02-11T10:00:00+01:00;15526150000;2,37918E+11;15103385;14653661;1;17;4
2019-02-11T11:00:00+01:00;15942733333;2,43933E+11;17092590;16887057;1;18;13
2019-02-11T12:00:00+01:00;15297766666;2,4471E+11;23173341;24316689;1;21;7
2019-02-11T13:00:00+01:00;14420550000;2,47206E+11;21790293;22514414;1;31;45
2019-02-11T14:00:00+01:00;15247716666;2,4227E+11;10223667;19979554;1;15;4
2019-02-11T15:00:00+01:00;15218516666;2,35329E+11;9938073;11892224;1;19;10
2019-02-11T16:00:00+01:00;15303916666;2,32937E+11;10920474;21922677;1;19;5
2019-02-11T17:00:00+01:00;15522716666;2,33224E+11;13784900;11051059;1;13;9
2019-02-11T18:00:00+01:00;16285083333;2,44953E+11;23769258;23303185;1;12;8
2019-02-11T19:00:00+01:00;17450716666;2,33394E+11;27817198;30531328;1;12;1
2019-02-11T20:00:00+01:00;18429733333;2,32883E+11;29706171;33867161;1;11;1
2019-02-11T21:00:00+01:00;18230916666;2,32571E+11;36556270;38279065;1;15;9
2019-02-11T22:00:00+01:00;18413866666;2,32986E+11;35465949;38405580;1;24;15
2019-02-11T23:00:00+01:00;15940600000;2,32466E+11;25172263;27962420;1;10;5
2019-02-12T00:00:00+01:00;13169166666;2,32356E+11;11208465;12459451;1;12;8
2019-02-12T01:00:00+01:00;13047100000;2,32327E+11;5332377;31765282;1;12;12
2019-02-12T02:00:00+01:00;12505366666;2,32372E+11;6058444;19253418;1;13;13
2019-02-12T03:00:00+01:00;11545833333;2,32551E+11;2949017;4637576;1;13;10
2019-02-12T04:00:00+01:00;11553033333;2,32582E+11;2226636;3846997;1;13;27
2019-02-12T05:00:00+01:00;10615116666;2,32573E+11;1576682;1363429;1;6;4
2019-02-12T06:00:00+01:00;11079300000;2,32899E+11;1573273;1402743;1;8;8
2019-02-12T07:00:00+01:00;13090533333;2,32903E+11;7738146;7872426;1;16;3
2019-02-12T08:00:00+01:00;12948333333;2,32976E+11;4595558;4703163;1;17;5
2019-02-12T09:00:00+01:00;13606100000;2,40853E+11;7467246;13578461;1;23;8
2019-02-12T10:00:00+01:00;12754533333;2,42668E+11;6912173;9388240;1;21;6
2019-02-12T11:00:00+01:00;12917433333;2,36578E+11;7257702;12733730;1;31;5
2019-02-12T12:00:00+01:00;14368016666;2,36361E+11;15710763;19031092;1;20;9
2019-02-12T13:00:00+01:00;14990983333;2,36248E+11;23594103;23449702;1;23;12
2019-02-12T14:00:00+01:00;14440766666;2,4006E+11;14119338;12879377;1;16;8
2019-02-12T15:00:00+01:00;14767066666;2,40511E+11;6551159;6573858;1;22;13
2019-02-12T16:00:00+01:00;14389683333;2,40615E+11;6413653;6170658;1;20;10
2019-02-12T17:00:00+01:00;13170700000;2,40676E+11;11916288;12356537;1;16;6
2019-02-12T18:00:00+01:00;15565483333;2,40665E+11;20325068;24540347;1;15;2
2019-02-12T19:00:00+01:00;19486866666;2,40052E+11;29291485;29244723;1;14;7
2019-02-12T20:00:00+01:00;17612050000;2,36357E+11;31712529;31890073;1;11;4
2019-02-12T21:00:00+01:00;15857550000;2,38678E+11;35730363;31966139;1;11;4
2019-02-12T22:00:00+01:00;17167900000;2,41493E+11;32127078;38139682;1;16;5
2019-02-12T23:00:00+01:00;15400200000;2,35762E+11;23186090;22572663;1;8;3
2019-02-13T00:00:00+01:00;12006516666;2,35898E+11;14571797;14509281;1;11;11
2019-02-13T01:00:00+01:00;11905000000;2,358E+11;8096785;22321442;1;16;17
2019-02-13T02:00:00+01:00;11083300000;2,41417E+11;8237926;3968938;1;10;15
2019-02-13T03:00:00+01:00;11341783333;2,51867E+11;1642001;2559197;1;15;12
2019-02-13T04:00:00+01:00;9917466666;2,51639E+11;1447901;3403637;1;17;47
2019-02-13T05:00:00+01:00;10029816666;2,51633E+11;1367637;7184162;1;6;11
2019-02-13T06:00:00+01:00;10552766666;2,40857E+11;2608793;5768823;1;10;6
2019-02-13T07:00:00+01:00;11677333333;2,3653E+11;7565346;7699490;1;19;5
2019-02-13T08:00:00+01:00;12504850000;2,37163E+11;6203050;6136337;1;21;6
2019-02-13T09:00:00+01:00;13956416666;2,44282E+11;7567718;6481595;1;21;4
2019-02-13T10:00:00+01:00;12925083333;2,47663E+11;7685918;8411344;1;22;12
2019-02-13T11:00:00+01:00;15742450000;2,46039E+11;8199936;10071808;1;18;9
2019-02-13T12:00:00+01:00;16499000000;2,46014E+11;17210299;16403694;1;18;5
2019-02-13T13:00:00+01:00;17713466666;2,46042E+11;22918758;21763157;1;19;6
2019-02-13T14:00:00+01:00;17754366666;2,40932E+11;11590246;15037303;1;18;5
2019-02-13T15:00:00+01:00;15377383333;2,34131E+11;12741632;12146261;1;20;13
2019-02-13T16:00:00+01:00;17930266666;2,33272E+11;16855790;14074060;1;19;11
2019-02-13T17:00:00+01:00;17231583333;2,36845E+11;14657655;13264657;1;13;3
2019-02-13T18:00:00+01:00;23757666666;2,37013E+11;18336221;27129890;1;57;114
2019-02-13T19:00:00+01:00;18119483333;2,36465E+11;23752516;31365034;1;17;17
2019-02-13T20:00:00+01:00;15650700000;2,36161E+11;27916100;27568947;1;21;7
2019-02-13T21:00:00+01:00;14471966666;2,36077E+11;31036467;47237870;1;11;6
2019-02-13T22:00:00+01:00;14451183333;2,36266E+11;30371983;30630337;1;13;14
2019-02-13T23:00:00+01:00;12639266666;2,35985E+11;22013610;22777838;1;11;3
