Time;dsi-openmanage: CPU usage;IF-MSSQL-TESTS: CPU usage;PCT-QRC-TEAM: CPU usage;MATEIS-CHIMITHEQUE: CPU usage;MSIF2018-WEB: CPU usage;MSIF2018-MID: CPU usage;CETHIL-FLEXLM2: CPU usage;HEBERGEMENTS: CPU usage;MOUVINSA-PRIV: CPU usage;MOUVINSA: CPU usage;TC-NET3: CPU usage
2019-06-06T14:42:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:43:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:44:00+02:00;74000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T14:45:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:46:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:47:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:48:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:49:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:50:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:51:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:52:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:53:00+02:00;74000000;0;0;241000000;0;0;0;0;0;0;0
2019-06-06T14:54:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:55:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T14:56:00+02:00;74000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T14:57:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T14:58:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T14:59:00+02:00;55000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T15:00:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:01:00+02:00;93000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:02:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:03:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:04:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:05:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:06:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
