TimeT,CPU usage,Used memory,Number of bytes received,Number of bytes transmitted,Overall status
09-07T11:44,1891000000.0,75553046528.0,9443328.0,223727616.0,1.0
09-07T11:46,3125500000.0,75561959424.0,926720.0,341504.0,1.0
09-07T11:48,2284500000.0,75593940992.0,950272.0,325632.0,1.0
09-07T11:50,2911500000.0,75572445184.0,3119104.0,226638848.0,1.0
09-07T11:52,2685500000.0,75525783552.0,936960.0,378880.0,1.0
09-07T11:54,2300500000.0,75566678016.0,3272192.0,221878784.0,1.0
09-07T11:56,3023500000.0,75590270976.0,943616.0,425472.0,1.0
09-07T11:58,2673500000.0,75557765120.0,938496.0,334336.0,1.0
09-07T12:00,2967000000.0,75522113536.0,8573440.0,178999296.0,1.0
09-07T12:02,3302000000.0,75549376512.0,880128.0,306688.0,1.0
09-07T12:04,2233000000.0,75568250880.0,2927104.0,221537792.0,1.0
09-07T12:06,3959500000.0,75560386560.0,900096.0,449024.0,1.0
09-07T12:08,2393500000.0,75696177152.0,926720.0,412160.0,1.0
09-07T12:10,2936000000.0,75562483712.0,2833408.0,222509056.0,1.0
09-07T12:12,2684000000.0,75568775168.0,849920.0,326656.0,1.0
09-07T12:14,2793500000.0,75587649536.0,3293696.0,222831104.0,1.0
09-07T12:16,2960500000.0,75526307840.0,1019392.0,293888.0,1.0
09-07T12:18,2038000000.0,75533647872.0,919552.0,364544.0,1.0
09-07T12:20,2731000000.0,75568775168.0,2946560.0,223286784.0,1.0
09-07T12:22,2180500000.0,75589222400.0,960512.0,437248.0,1.0
09-07T12:24,2249000000.0,75506384896.0,3134464.0,224730112.0,1.0
09-07T12:26,2901500000.0,75557240832.0,968704.0,440832.0,1.0
09-07T12:28,3235500000.0,75557765120.0,975360.0,932864.0,1.0
