Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Average read latency of the datastore LUN_080;Average read latency of the datastore LUN_081;Average read latency of the datastore LUN_082;Average read latency of the datastore LUN_083;Average read latency of the datastore LUN_084;Average read latency of the datastore LUN_085;Average write latency of the datastore LUN_080;Average write latency of the datastore LUN_081;Average write latency of the datastore LUN_082;Average write latency of the datastore LUN_083;Average write latency of the datastore LUN_084;Average write latency of the datastore LUN_085
2019-06-27T02:14:00+02:00;8744500000;2,25E+11;3201024;8085504;4;0;0,5;0;3;6,5;1;2;1,5;0,5;2,5;2
2019-06-27T02:16:00+02:00;7901000000;2,25E+11;3124224;17772032;6;4,5;2;3;4,5;5,5;2;2,5;3,5;21;4,5;6,5
2019-06-27T02:18:00+02:00;9275000000;2,25E+11;1850880;10898432;2,5;2;1;0;4;8;2;2;8;2;1;1
2019-06-27T02:20:00+02:00;6983000000;2,25E+11;2025472;12141056;1;0;1;0;0;6;1;1,5;2;0,5;1,5;1,5
2019-06-27T02:22:00+02:00;10297000000;2,25E+11;2352640;26294272;0;0;1;0;0;6;1;0;2;0;2;1
2019-06-27T02:24:00+02:00;9871500000;2,25E+11;null;null;2;2;2;0;2;5;1;0;2;0;3;1
2019-06-27T02:26:00+02:00;8200000000;2,25E+11;1825792;28695552;2;0;0;0;1,5;5;1;0;2;0;2,5;1
2019-06-27T02:28:00+02:00;6736500000;2,25E+11;1558528;21727232;4,5;2;0;1,5;1,5;4;1,5;0,5;2;0;2,5;1
2019-06-27T02:30:00+02:00;6815000000;2,25E+11;1211904;22202880;3,5;2,5;2;0;3,5;11;18;4,5;9,5;1,5;4;2,5
2019-06-27T02:32:00+02:00;8401000000;2,25E+11;2102272;28461568;3,5;0;2;0;1;7;1;1;2;12;1;1,5
2019-06-27T02:34:00+02:00;8168000000;2,25E+11;1602560;31395840;1;1,5;1;0;0,5;5;1;0,5;2;0;0,5;1
2019-06-27T02:36:00+02:00;7864000000;2,25E+11;1207808;33894912;2;0;0;0;0;5;2;1;1;0;1,5;0,5
